0 2 4
2 6 4
6 7 4
7 8 4
8 20 4
20 12 4
12 1 4
1 0 4
12 5 1
12 16 5
16 19 5
19 11 5
11 3 5
19 15 11
15 22 11
15 25 22
15 34 25
34 31 25
34 52 31
52 57 31
52 62 57
62 73 57
62 104 73
104 106 73
106 75 73
106 108 75
106 121 108
121 134 108
121 143 134
106 104 121
62 71 104
71 100 104
100 98 104
98 119 104
98 96 119
96 117 119
117 132 119
117 130 132
130 141 132
141 148 132
148 153 132
148 174 153
174 177 153
174 190 177
174 187 190
187 202 190
187 198 202
198 216 202
198 206 216
206 209 216
209 225 216
225 229 216
229 231 216
229 233 231
233 247 231
247 242 231
247 268 242
268 250 242
250 218 242
218 211 242
250 240 218
240 236 218
236 224 218
236 272 224
272 248 224
248 238 224
238 213 224
238 222 213
222 208 213
222 220 208
272 279 248
279 301 248
301 269 248
301 290 269
290 283 269
283 266 269
283 276 266
283 313 276
313 317 276
317 358 276
358 354 276
358 379 354
379 405 354
379 432 405
432 423 405
423 451 405
423 490 451
490 495 451
495 545 451
495 550 545
550 576 545
576 597 545
576 639 597
639 618 597
618 655 597
618 687 655
687 671 655
687 725 671
725 736 671
736 786 671
736 797 786
797 848 786
848 814 786
848 901 814
901 907 814
901 913 907
913 999 907
999 956 907
913 919 999
919 962 999
919 925 962
925 968 962
925 931 968
931 937 968
937 974 968
937 980 974
937 943 980
943 949 980
949 986 980
949 961 986
961 992 986
992 974 986
992 998 974
992 961 998
949 906 961
906 924 961
924 967 961
924 930 967
930 973 967
930 936 973
936 942 973
942 979 973
942 948 979
948 985 979
948 991 985
948 954 991
954 997 991
954 960 997
954 911 960
911 923 960
923 966 960
923 929 966
929 935 966
935 972 966
935 941 972
941 978 972
941 947 978
947 990 978
947 953 990
953 996 990
953 959 996
953 910 959
910 916 959
916 922 959
922 928 959
928 971 959
928 934 971
934 940 971
940 946 971
946 983 971
946 952 983
952 989 983
952 995 989
952 958 995
952 915 958
915 921 958
921 964 958
921 873 964
873 927 964
927 933 964
933 970 964
933 939 970
939 976 970
939 945 976
945 982 976
945 988 982
945 951 988
951 994 988
945 855 951
855 849 951
849 902 951
902 908 951
908 914 951
908 890 914
890 969 914
969 957 914
890 938 969
938 975 969
975 981 969
975 938 981
938 860 981
860 944 981
944 987 981
944 950 987
950 993 987
944 854 950
944 831 854
831 775 854
831 731 775
731 720 775
720 698 775
720 709 698
709 682 698
682 634 698
682 650 634
650 613 634
613 592 634
592 571 634
571 540 634
571 530 540
530 505 540
505 500 540
505 456 500
456 414 500
456 392 414
392 375 414
375 350 414
375 346 350
346 294 350
346 342 294
342 298 294
298 263 294
298 287 263
287 280 263
280 273 263
273 260 263
260 251 263
251 243 263
260 254 251
260 257 254
257 226 254
257 234 226
234 232 226
232 230 226
230 228 226
228 205 226
228 241 205
241 215 205
228 230 241
230 246 241
230 232 246
232 234 246
234 277 246
277 249 246
249 217 246
249 239 217
239 219 217
239 244 219
244 237 219
237 221 219
221 210 219
237 223 221
237 235 223
235 229 223
229 225 223
235 233 229
235 247 233
235 271 247
271 278 247
278 268 247
278 300 268
300 289 268
289 250 268
289 275 250
275 256 250
256 240 250
256 236 240
256 259 236
259 297 236
297 272 236
297 279 272
297 301 279
297 333 301
333 305 301
305 290 301
305 309 290
309 313 290
313 283 290
309 317 313
309 325 317
325 366 317
366 362 317
362 358 317
362 379 358
362 396 379
396 432 379
396 441 432
441 480 432
480 485 432
485 446 432
446 423 432
446 485 423
485 490 423
485 495 490
485 550 495
485 480 550
480 555 550
555 581 550
581 602 550
602 639 550
639 576 550
602 623 639
623 703 639
703 687 639
687 618 639
703 714 687
714 725 687
714 758 725
758 747 725
747 736 725
747 797 736
747 758 797
758 842 797
842 825 797
825 848 797
825 877 848
877 925 848
925 883 848
883 895 848
895 901 848
895 913 901
895 919 913
895 883 919
883 925 919
877 931 925
877 842 931
842 871 931
871 937 931
871 943 937
871 865 943
865 949 943
865 859 949
859 830 949
830 900 949
900 906 949
900 924 906
900 882 924
882 930 924
882 876 930
876 870 930
870 936 930
870 942 936
870 864 942
864 835 942
835 858 942
858 948 942
858 852 948
852 905 948
905 954 948
905 911 954
905 899 911
899 923 911
899 881 923
881 875 923
875 929 923
875 869 929
869 935 929
869 941 935
869 863 941
863 857 941
857 947 941
857 953 947
857 898 953
898 910 953
898 916 910
898 892 916
892 886 916
886 922 916
886 880 922
880 874 922
874 928 922
874 934 928
874 868 934
868 862 934
862 940 934
862 856 940
856 946 940
856 952 946
856 850 952
850 915 952
850 891 915
891 879 915
879 921 915
879 873 921
879 844 873
844 810 873
810 821 873
821 838 873
838 867 873
867 933 873
933 927 873
867 939 933
867 861 939
861 945 939
861 855 945
861 832 855
832 815 855
815 826 855
826 849 855
826 798 849
798 781 849
781 896 849
896 902 849
896 908 902
896 890 908
896 781 890
781 843 890
843 820 890
820 872 890
872 938 890
872 820 938
820 860 938
820 831 860
831 944 860
820 731 831
820 781 731
781 693 731
693 666 731
666 720 731
666 682 720
682 709 720
666 650 682
666 629 650
629 613 650
629 592 613
629 608 592
608 566 592
566 571 592
566 515 571
515 520 571
520 525 571
525 530 571
525 505 530
525 520 505
520 515 505
515 456 505
515 461 456
461 437 456
437 392 456
437 428 392
428 401 392
401 371 392
371 346 392
346 375 392
371 342 346
371 338 342
338 298 342
338 334 298
334 330 298
330 302 298
302 287 298
302 306 287
306 280 287
306 310 280
310 291 280
291 273 280
291 257 273
257 260 273
291 234 257
291 277 234
291 351 277
291 355 351
355 376 351
376 393 351
393 402 351
402 343 351
343 284 351
284 270 351
284 295 270
295 277 270
295 339 277
339 288 277
288 264 277
264 249 277
264 239 249
264 244 239
264 274 244
274 261 244
261 258 244
258 237 244
258 235 237
258 271 235
258 292 271
292 285 271
285 278 271
285 348 278
348 344 278
344 340 278
340 300 278
340 336 300
336 332 300
332 304 300
304 289 300
304 308 289
308 312 289
312 275 289
312 259 275
259 256 275
312 320 259
320 357 259
357 293 259
293 297 259
293 353 297
353 349 297
349 341 297
341 337 297
337 333 297
337 370 333
370 366 333
366 325 333
325 305 333
325 309 305
370 400 366
400 383 366
383 362 366
383 396 362
383 409 396
409 418 396
418 441 396
418 465 441
465 470 441
470 480 441
470 465 480
465 560 480
560 555 480
560 602 555
602 581 555
560 623 602
560 607 623
607 644 623
644 660 623
660 703 623
660 692 703
692 769 703
769 758 703
758 714 703
769 808 758
808 842 758
808 871 842
808 865 871
808 780 865
780 752 865
752 802 865
802 830 865
830 859 865
802 900 830
802 763 900
763 774 900
774 813 900
813 847 900
847 882 900
847 824 882
824 876 882
824 841 876
841 870 876
841 864 870
841 835 864
841 807 835
807 818 835
818 858 835
818 801 858
801 852 858
801 812 852
